"id","en-US","context","ar-SA","de-DE","es-ES","fi-FI","fr-FR","hu-HU","it-IT","ja-JP","ko-KR","ml-IN","nl-NL","pl-PL","pt-BR","pt-PT","ru-RU","sv-SE","uk-UA","zh-CN","zh-TW","qps-ploc"
"IDS_OPT_INK_COLOUR","Ink colour","Customize option label beside a colour button. The colour everything is drawn in.","لون الحبر","Tintenfarbe","Color de la tinta","Musteen väri","Couleur de l'encre","Tinta színe","Colore dell'inchiostro","インクの色","잉크 색","മഷിയുടെ നിറം","Inktkleur","Kolor atramentu","Cor da tinta","Cor da tinta","Цвет чернил","Bläckfärg","Колір чорнила","墨水颜色","墨水色彩","[Íñk çóĺóúŕ !!!!]"
"IDS_OPT_LABEL_COLOUR","Label colour","Customize option label beside a colour button. The small secondary text (date, AM/PM).","لون التسميات","Beschriftungsfarbe","Color de las etiquetas","Tekstien väri","Couleur des libellés","Feliratok színe","Colore delle etichette","ラベルの色","레이블 색","ലേബലിന്റെ നിറം","Labelkleur","Kolor etykiet","Cor dos rótulos","Cor das etiquetas","Цвет подписей","Etiketternas färg","Колір підписів","标签颜色","標籤色彩","[Lábéĺ çóĺóúŕ !!!!!]"
"IDS_OPT_LIT_LETTER","Lit letter colour","Customize option label beside a colour button, Word clock. The letters that spell the time.","لون الحروف المضيئة","Farbe leuchtender Buchstaben","Color de las letras encendidas","Syttyneiden kirjainten väri","Couleur des lettres allumées","Világító betűk színe","Colore delle lettere accese","点灯文字の色","켜진 글자 색","പ്രകാശിക്കുന്ന അക്ഷരങ്ങളുടെ നിറം","Kleur van opgelichte letters","Kolor podświetlonych liter","Cor das letras acesas","Cor das letras acesas","Цвет светящихся букв","Tända bokstävers färg","Колір підсвічених літер","点亮字母颜色","點亮字母色彩","[Líţ ĺéţţéŕ çóĺóúŕ !!!!!!!]"
"IDS_OPT_MARKING_COLOUR","Marking colour","Customize option label beside a colour button. Rim, tick marks and numerals.","لون العلامات","Farbe der Markierungen","Color de las marcas","Merkintöjen väri","Couleur des repères","Jelölések színe","Colore degli indici","目盛りの色","눈금 색","അടയാളങ്ങളുടെ നിറം","Markeringskleur","Kolor oznaczeń","Cor das marcas","Cor das marcas","Цвет меток","Markeringarnas färg","Колір позначок","刻度颜色","刻度色彩","[Máŕkíñğ çóĺóúŕ !!!!!!]"
"IDS_OPT_MINUTE_BLOCK","Minute block colour","Customize option label beside a colour button, Split face. The block behind the minute digits.","لون كتلة الدقائق","Farbe des Minutenblocks","Color del bloque de minutos","Minuuttilohkon väri","Couleur du bloc des minutes","Perctömb színe","Colore del blocco dei minuti","分ブロックの色","분 블록 색","മിനിറ്റ് ബ്ലോക്കിന്റെ നിറം","Kleur van het minutenblok","Kolor bloku minut","Cor do bloco dos minutos","Cor do bloco dos minutos","Цвет блока минут","Minutblockets färg","Колір блоку хвилин","分钟块颜色","分鐘區塊色彩","[Míñúţé bĺóçk çóĺóúŕ !!!!!!!!]"
"IDS_OPT_MINUTE_DIMMING","Minute dimming","Customize option label beside a list: Match hour / Dim / Faint. How much fainter the minutes are than the hours.","تعتيم الدقائق","Minutenhelligkeit","Atenuación de los minutos","Minuuttien himmennys","Atténuation des minutes","Percek halványítása","Attenuazione dei minuti","分の明るさ","분 흐리게","മിനിറ്റ് മങ്ങിക്കുക","Minuten dimmen","Przygaszenie minut","Atenuação dos minutos","Atenuação dos minutos","Затемнение минут","Dämpa minuterna","Затемнення хвилин","分钟亮度","分鐘變暗","[Míñúţé đímmíñğ !!!!!!]"
"IDS_OPT_NUMERALS","Numerals","Customize option: a list of which numbers the dial shows, or a checkbox for whether it shows any.","الأرقام","Ziffern","Números","Numerot","Chiffres","Számok","Numeri","数字","숫자","അക്കങ്ങൾ","Cijfers","Cyfry","Algarismos","Algarismos","Цифры","Siffror","Цифри","数字","數字","[Ñúméŕáĺš !!!!]"
"IDS_OPT_PANEL_COLOUR","Panel colour","Customize option label beside a colour button. The rectangle behind the text.","لون اللوحة","Flächenfarbe","Color del panel","Paneelin väri","Couleur du panneau","Panel színe","Colore del pannello","パネルの色","패널 색","പാനലിന്റെ നിറം","Paneelkleur","Kolor panelu","Cor do painel","Cor do painel","Цвет панели","Panelens färg","Колір панелі","面板颜色","面板色彩","[Páñéĺ çóĺóúŕ !!!!!]"
"IDS_OPT_PHOSPHOR","Phosphor colour","Customize option label beside a colour button, Terminal face. The glowing text colour of an old monitor.","لون الفوسفور","Leuchtstofffarbe","Color del fósforo","Fosforin väri","Couleur du luminophore","Foszfor színe","Colore del fosforo","蛍光体の色","형광체 색","ഫോസ്ഫർ നിറം","Fosforkleur","Kolor luminoforu","Cor do fósforo","Cor do fósforo","Цвет люминофора","Fosforfärg","Колір люмінофора","荧光体颜色","螢光體色彩","[Phóšphóŕ çóĺóúŕ !!!!!!]"
"IDS_OPT_PLATE_COLOUR","Plate colour","Customize option label beside a colour button, Icon face. The backing tile behind the dial.","لون القاعدة","Plattenfarbe","Color de la placa","Levyn väri","Couleur de la plaque","Lap színe","Colore della piastra","プレートの色","플레이트 색","പ്ലേറ്റിന്റെ നിറം","Plaatkleur","Kolor płytki","Cor da placa","Cor da placa","Цвет пластины","Plattans färg","Колір пластини","底板颜色","底板色彩","[Pĺáţé çóĺóúŕ !!!!!]"
"IDS_OPT_PLATE_SHAPE","Plate shape","Customize option label beside a list: Rounded / Square / Circle.","شكل القاعدة","Plattenform","Forma de la placa","Levyn muoto","Forme de la plaque","Lap alakja","Forma della piastra","プレートの形","플레이트 모양","പ്ലേറ്റിന്റെ ആകൃതി","Plaatvorm","Kształt płytki","Forma da placa","Forma da placa","Форма пластины","Plattans form","Форма пластини","底板形状","底板形狀","[Pĺáţé šhápé !!!!!]"
"IDS_OPT_PROMPT","Prompt","Customize option label beside a list, Terminal face. The command-line prompt text shown before the time.","الموجه","Prompt","Indicador","Kehote","Invite","Prompt","Prompt","プロンプト","프롬프트","പ്രോംപ്റ്റ്","Prompt","Znak zachęty","Prompt","Prompt","Приглашение","Prompt","Запрошення","提示符","提示字元","[Pŕómpţ !!!]"
"IDS_OPT_RIM_COLOUR","Rim colour","Customize option label beside a colour button. The outer edge of the dial.","لون الإطار","Randfarbe","Color del borde","Reunan väri","Couleur du contour","Perem színe","Colore del bordo","縁の色","테두리 색","അരികിന്റെ നിറം","Randkleur","Kolor obramowania","Cor do aro","Cor do aro","Цвет ободка","Kantens färg","Колір обідка","边框颜色","邊框色彩","[Rím çóĺóúŕ !!!!]"
"IDS_OPT_RING_COLOUR","Ring colour","Customize option label beside a colour button, Bold face. The thick ring around the dial.","لون الحلقة","Ringfarbe","Color del anillo","Renkaan väri","Couleur de l'anneau","Gyűrű színe","Colore dell'anello","リングの色","링 색","വളയത്തിന്റെ നിറം","Ringkleur","Kolor pierścienia","Cor do anel","Cor do anel","Цвет кольца","Ringens färg","Колір кільця","圆环颜色","圓環色彩","[Ríñğ çóĺóúŕ !!!!!]"
"IDS_OPT_RING_THICKNESS","Ring thickness","Customize option label beside a list: Thin / Normal width / Thick.","سماكة الحلقة","Ringstärke","Grosor del anillo","Renkaan paksuus","Épaisseur de l'anneau","Gyűrű vastagsága","Spessore dell'anello","リングの太さ","링 두께","വളയത്തിന്റെ കനം","Ringdikte","Grubość pierścienia","Espessura do anel","Espessura do anel","Толщина кольца","Ringens tjocklek","Товщина кільця","圆环粗细","圓環粗細","[Ríñğ ţhíçkñéšš !!!!!!]"
"IDS_OPT_SHOW_AMPM","Show AM/PM","Customize option, checkbox.","إظهار ص/م","AM/PM anzeigen","Mostrar AM/PM","Näytä AM/PM","Afficher AM/PM","AM/PM megjelenítése","Mostra AM/PM","AM/PM を表示","AM/PM 표시","AM/PM കാണിക്കുക","AM/PM tonen","Pokaż AM/PM","Mostrar AM/PM","Mostrar AM/PM","Показывать AM/PM","Visa AM/PM","Показувати AM/PM","显示 AM/PM","顯示 AM/PM","[Šhów ÁM/PM !!!!]"
"IDS_OPT_SHOW_DATE","Show date","Customize option, checkbox.","إظهار التاريخ","Datum anzeigen","Mostrar fecha","Näytä päivämäärä","Afficher la date","Dátum megjelenítése","Mostra la data","日付を表示","날짜 표시","തീയതി കാണിക്കുക","Datum tonen","Pokaż datę","Mostrar data","Mostrar data","Показывать дату","Visa datum","Показувати дату","显示日期","顯示日期","[Šhów đáţé !!!!]"
"IDS_OPT_SHOW_MINUTE_DOTS","Show minute dots","Customize option, checkbox, Word clock. Dots that count the minutes between five-minute steps.","إظهار نقاط الدقائق","Minutenpunkte anzeigen","Mostrar puntos de minutos","Näytä minuuttipisteet","Afficher les points des minutes","Percpontok megjelenítése","Mostra i punti dei minuti","分ドットを表示","분 점 표시","മിനിറ്റ് കുത്തുകൾ കാണിക്കുക","Minuutstippen tonen","Pokaż kropki minut","Mostrar pontos dos minutos","Mostrar pontos dos minutos","Показывать точки минут","Visa minutpunkter","Показувати крапки хвилин","显示分钟圆点","顯示分鐘圓點","[Šhów míñúţé đóţš !!!!!!!]"
"IDS_OPT_SHOW_PANEL","Show panel","Customize option, checkbox. A rectangle drawn behind the text.","إظهار اللوحة","Fläche anzeigen","Mostrar panel","Näytä paneeli","Afficher le panneau","Panel megjelenítése","Mostra il pannello","パネルを表示","패널 표시","പാനൽ കാണിക്കുക","Paneel tonen","Pokaż panel","Mostrar painel","Mostrar painel","Показывать панель","Visa panel","Показувати панель","显示面板","顯示面板","[Šhów páñéĺ !!!!]"
"IDS_OPT_TEXT_COLOUR","Text colour","Customize option label beside a colour button.","لون النص","Textfarbe","Color del texto","Tekstin väri","Couleur du texte","Szöveg színe","Colore del testo","文字の色","텍스트 색","ടെക്സ്റ്റിന്റെ നിറം","Tekstkleur","Kolor tekstu","Cor do texto","Cor do texto","Цвет текста","Textfärg","Колір тексту","文字颜色","文字色彩","[Téxţ çóĺóúŕ !!!!!]"
"IDS_OPT_TICK_MARKS","Tick marks","Customize option label beside a list: Minute / Hour / None. The short lines around the dial edge.","علامات التدريج","Strichmarkierungen","Marcas de graduación","Viivamerkinnät","Graduations","Osztásjelek","Indici","目盛り線","눈금선","അടയാള വരകൾ","Streepjes","Znaczniki","Marcas","Marcas","Штриховые метки","Streckmarkeringar","Штрихові позначки","刻度线","刻度線","[Tíçk máŕkš !!!!]"
"IDS_CHOICE_ALL_12","All 12","List item under Numerals: all twelve numbers are shown.","كل الـ 12","Alle 12","Los 12","Kaikki 12","Les 12","Mind a 12","Tutti i 12","12 個すべて","12개 모두","എല്ലാ 12-ഉം","Alle 12","Wszystkie 12","Todos os 12","Todos os 12","Все 12","Alla 12","Усі 12","全部 12 个","全部 12 個","[Áĺĺ 12 !!!]"
"IDS_CHOICE_QUARTERS","12, 3, 6, 9","List item under Numerals: only these four numbers are shown. Change the separator only if your language would.","12, 3, 6, 9","12, 3, 6, 9","12, 3, 6, 9","12, 3, 6, 9","12, 3, 6, 9","12, 3, 6, 9","12, 3, 6, 9","12, 3, 6, 9","12, 3, 6, 9","12, 3, 6, 9","12, 3, 6, 9","12, 3, 6, 9","12, 3, 6, 9","12, 3, 6, 9","12, 3, 6, 9","12, 3, 6, 9","12, 3, 6, 9","12, 3, 6, 9","12, 3, 6, 9","[12, 3, 6, 9 !!!!!]"
"IDS_CHOICE_NONE","None","List item under Numerals and under Tick marks: nothing is shown.","بلا","Keine","Ninguno","Ei mitään","Aucun","Nincs","Nessuno","なし","없음","ഒന്നുമില്ല","Geen","Brak","Nenhum","Nenhum","Нет","Inga","Немає","无","無","[Ñóñé !!]"
"IDS_CHOICE_MINUTE","Minute","List item under Tick marks: a mark at every minute.","دقائق","Minuten","Minutos","Minuutit","Minutes","Perc","Minuti","分","분","മിനിറ്റ്","Minuten","Minutowe","Minutos","Minutos","Минутные","Minuter","Хвилинні","分钟","分鐘","[Míñúţé !!!]"
"IDS_CHOICE_HOUR","Hour","List item under Tick marks: a mark at every hour only.","ساعات","Stunden","Horas","Tunnit","Heures","Óra","Ore","時","시","മണിക്കൂർ","Uren","Godzinowe","Horas","Horas","Часовые","Timmar","Годинні","小时","小時","[Hóúŕ !!]"
"IDS_CHOICE_THIN","Thin","List item under Ring thickness.","رفيع","Dünn","Fino","Ohut","Fin","Vékony","Sottile","細い","얇게","നേർത്തത്","Dun","Cienki","Fino","Fino","Тонкое","Tunn","Тонке","细","細","[Thíñ !!]"
"IDS_CHOICE_NORMAL_WIDTH","Normal width","List item under Ring thickness. Distinct from ""Normal size"" so each can agree with its own noun.","سماكة عادية","Normale Stärke","Grosor normal","Normaali paksuus","Épaisseur normale","Normál vastagság","Spessore normale","標準の太さ","보통","സാധാരണ കനം","Normale dikte","Normalna grubość","Espessura normal","Espessura normal","Обычная толщина","Normal tjocklek","Звичайна товщина","标准粗细","標準粗細","[Ñóŕmáĺ wíđţh !!!!!]"
"IDS_CHOICE_THICK","Thick","List item under Ring thickness.","سميك","Dick","Grueso","Paksu","Épais","Vastag","Spesso","太い","두껍게","കട്ടിയുള്ളത്","Dik","Gruby","Grosso","Grosso","Толстое","Tjock","Товсте","粗","粗","[Thíçk !!]"
"IDS_CHOICE_CLEAR","Clear","List item under Frost: fully see-through. Adjective.","شفاف","Klar","Transparente","Kirkas","Transparent","Átlátszó","Trasparente","透明","투명","തെളിഞ്ഞത്","Helder","Przezroczyste","Transparente","Transparente","Прозрачное","Klart","Прозоре","透明","透明","[Çĺéáŕ !!]"
"IDS_CHOICE_FROSTED","Frosted","List item under Frost: partly see-through. Adjective.","مصنفر","Satiniert","Esmerilado","Huurrettu","Dépoli","Homályos","Smerigliato","すりガラス","반투명 유리","അർധസുതാര്യം","Matglas","Matowe","Fosco","Fosco","Матовое","Frostat","Матове","磨砂","霧面","[Fŕóšţéđ !!!]"
"IDS_CHOICE_OPAQUE","Opaque","List item under Frost: not see-through at all. Adjective.","معتم","Deckend","Opaco","Läpinäkymätön","Opaque","Átlátszatlan","Opaco","不透明","불투명","അതാര്യം","Ondoorzichtig","Nieprzezroczyste","Opaco","Opaco","Непрозрачное","Ogenomskinligt","Непрозоре","不透明","不透明","[Ópáqúé !!!]"
"IDS_CHOICE_LONG_DATE","Long date","List item under Date format: weekday and month written out.","تاريخ طويل","Langes Datum","Fecha larga","Pitkä päivämäärä","Date longue","Hosszú dátum","Data estesa","長い形式","긴 날짜","നീണ്ട തീയതി","Lange datum","Data długa","Data por extenso","Data por extenso","Полная дата","Långt datum","Повна дата","长日期","長日期","[Lóñğ đáţé !!!!]"
"IDS_CHOICE_SHORT_DATE","Short date","List item under Date format: abbreviated weekday and month.","تاريخ قصير","Kurzes Datum","Fecha corta","Lyhyt päivämäärä","Date courte","Rövid dátum","Data breve","短い形式","짧은 날짜","ചുരുക്ക തീയതി","Korte datum","Data krótka","Data abreviada","Data abreviada","Краткая дата","Kort datum","Коротка дата","短日期","短日期","[Šhóŕţ đáţé !!!!]"
"IDS_CHOICE_SMALL","Small","List item under Dot size.","صغير","Klein","Pequeño","Pieni","Petite","Kicsi","Piccola","小","작게","ചെറുത്","Klein","Małe","Pequeno","Pequeno","Маленький","Liten","Малий","小","小","[Šmáĺĺ !!]"
"IDS_CHOICE_NORMAL_SIZE","Normal size","List item under Dot size. Distinct from ""Normal width"" so each can agree with its own noun.","حجم عادي","Normale Größe","Tamaño normal","Normaali koko","Taille normale","Normál méret","Dimensione normale","標準の大きさ","보통","സാധാരണ വലുപ്പം","Normale grootte","Normalne","Tamanho normal","Tamanho normal","Обычный размер","Normal storlek","Звичайний розмір","标准大小","標準大小","[Ñóŕmáĺ šížé !!!!!]"
"IDS_CHOICE_LARGE","Large","List item under Dot size.","كبير","Groß","Grande","Suuri","Grande","Nagy","Grande","大","크게","വലുത്","Groot","Duże","Grande","Grande","Большой","Stor","Великий","大","大","[Láŕğé !!]"
"IDS_CHOICE_ROUNDED","Rounded","List item under Plate shape: a square with rounded corners.","مستديرة","Abgerundet","Redondeada","Pyöristetty","Arrondie","Lekerekített","Arrotondata","角丸","둥근 사각형","വൃത്ത മൂലകൾ","Afgerond","Zaokrąglona","Arredondada","Arredondada","Скругленная","Rundad","Заокруглена","圆角","圓角","[Róúñđéđ !!!]"
"IDS_CHOICE_SQUARE","Square","List item under Plate shape.","مربعة","Quadratisch","Cuadrada","Neliö","Carrée","Négyzet","Quadrata","四角","사각형","ചതുരം","Vierkant","Kwadratowa","Quadrada","Quadrada","Квадратная","Fyrkantig","Квадратна","方形","方形","[Šqúáŕé !!!]"
"IDS_CHOICE_CIRCLE","Circle","List item under Plate shape.","دائرية","Rund","Circular","Ympyrä","Ronde","Kör","Circolare","円","원","വൃത്തം","Rond","Okrągła","Circular","Circular","Круглая","Rund","Кругла","圆形","圓形","[Çíŕçĺé !!!]"
"IDS_CHOICE_MATCH_HOUR","Match hour","List item under Minute dimming: minutes drawn as bright as the hours.","مثل الساعة","Wie die Stunde","Igual que la hora","Tunnin mukaan","Comme l'heure","Mint az óra","Come l'ora","時と同じ","시와 동일","മണിക്കൂറിനൊപ്പം","Gelijk aan het uur","Jak godzina","Igual à hora","Igual à hora","Как у часа","Som timmen","Як у години","与小时相同","與小時相同","[Máţçh hóúŕ !!!!]"
"IDS_CHOICE_DIM","Dim","List item under Minute dimming: minutes somewhat fainter. Adjective.","خافت قليلاً","Gedämpft","Atenuado","Himmeä","Atténué","Halvány","Attenuato","やや暗く","흐리게","മങ്ങിയത്","Gedimd","Przygaszone","Atenuado","Atenuado","Приглушенный","Dämpad","Приглушено","变暗","變暗","[Dím !!]"
"IDS_CHOICE_FAINT","Faint","List item under Minute dimming: minutes much fainter. Adjective.","خافت جدًا","Schwach","Tenue","Hyvin himmeä","Léger","Nagyon halvány","Tenue","かすかに","아주 흐리게","നേരിയത്","Zwak","Słabe","Tênue","Ténue","Едва заметный","Svag","Ледь помітно","微弱","微弱","[Fáíñţ !!]"
"IDS_CHOICE_DOTS_4","4","List item under Dot count. A number; normally left untranslated.","","","","","","","","","","","","","","","","","","","",""
"IDS_CHOICE_DOTS_12","12","List item under Dot count. A number; normally left untranslated.","","","","","","","","","","","","","","","","","","","",""
"IDS_CHOICE_DOTS_60","60","List item under Dot count. A number; normally left untranslated.","","","","","","","","","","","","","","","","","","","",""
"IDS_CHOICE_PROMPT_DOLLAR","$ time","List item under Prompt: a sample Unix shell prompt. Do not translate: the face draws this exact text, and the list must match it.","","","","","","","","","","","","","","","","","","","",""
"IDS_CHOICE_PROMPT_ANGLE","> time","List item under Prompt: a sample Windows-style prompt. Do not translate: the face draws this exact text, and the list must match it.","","","","","","","","","","","","","","","","","","","",""
"IDS_CHOICE_PROMPT_PATH","~/clock $ time","List item under Prompt: a sample shell prompt with a folder. Do not translate: the face draws this exact text, and the list must match it.","","","","","","","","","","","","","","","","","","","",""
"IDS_RIGHTS_RESERVED","All rights reserved.","About box, after the copyright holder: ""(c) RYF Tools. <this>""","جميع الحقوق محفوظة.","Alle Rechte vorbehalten.","Todos los derechos reservados.","Kaikki oikeudet pidätetään.","Tous droits réservés.","Minden jog fenntartva.","Tutti i diritti riservati.","無断複写・転載を禁じます。","모든 권리 보유.","എല്ലാ അവകാശങ്ങളും നിക്ഷിപ്തം.","Alle rechten voorbehouden.","Wszelkie prawa zastrzeżone.","Todos os direitos reservados.","Todos os direitos reservados.","Все права защищены.","Alla rättigheter förbehållna.","Усі права захищено.","保留所有权利。","保留一切權利。","[Áĺĺ ŕíğhţš ŕéšéŕvéđ. !!!!!!!!]"
